gene.id	gene.name	cds.id	chr	chr.coding.start	chr.coding.end	cds.start	cds.end	length	strand
ENSG00000114450	GNB4	ENSP00000232564	3	338678	338716	58	96	1023	-1
ENSG00000114450	GNB4	ENSP00000232564	3	337188	337294	97	203	1023	-1
ENSG00000114450	GNB4	ENSP00000232564	3	334282	334345	204	267	1023	-1
ENSG00000114450	GNB4	ENSP00000232564	3	332674	332836	268	430	1023	-1
ENSG00000114450	GNB4	ENSP00000232564	3	331504	331570	431	497	1023	-1
ENSG00000114450	GNB4	ENSP00000232564	3	331201	331402	498	699	1023	-1
ENSG00000114450	GNB4	ENSP00000232564	3	322979	323195	700	916	1023	-1
ENSG00000114450	GNB4	ENSP00000232564	3	319002	319108	917	1023	1023	-1
ENSG00000114450	GNB4	ENSP00000420066	3	332674	332836	35	197	496	-1
ENSG00000114450	GNB4	ENSP00000420066	3	331504	331570	198	264	496	-1
ENSG00000114450	GNB4	ENSP00000420066	3	331201	331402	265	466	496	-1
ENSG00000114450	GNB4	ENSP00000420066	3	334282	334315	1	34	496	-1
ENSG00000114450	GNB4	ENSP00000420066	3	319079	319108	467	496	496	-1
ENSG00000114450	GNB4	ENSP00000419693	3	343933	343989	1	57	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	338678	338716	58	96	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	337188	337294	97	203	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	334282	334345	204	267	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	332674	332836	268	430	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	331504	331570	431	497	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	331201	331402	498	699	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	322979	323195	700	916	1023	-1
ENSG00000114450	GNB4	ENSP00000419693	3	319002	319108	917	1023	1023	-1
ENSG00000114450	GNB4	ENSP00000420606	3	343933	343989	1	57	239	-1
ENSG00000114450	GNB4	ENSP00000420606	3	338678	338716	58	96	239	-1
ENSG00000114450	GNB4	ENSP00000420606	3	337188	337294	97	203	239	-1
ENSG00000114450	GNB4	ENSP00000420606	3	334310	334345	204	239	239	-1
ENSG00000136518	ACTL6A	ENSP00000397552	3	480882	480906	1	25	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	487613	487689	26	102	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	487856	488030	103	277	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	491158	491258	278	378	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	492159	492256	379	476	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	494006	494100	477	571	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	494409	494515	572	678	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	494613	494702	679	768	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	498429	498490	769	830	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	498683	498797	831	945	1290	1
ENSG00000136518	ACTL6A	ENSP00000397552	3	498929	499009	946	1026	1290	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	491158	491258	152	252	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	492159	492256	253	350	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	494006	494100	351	445	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	494409	494515	446	552	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	494613	494702	553	642	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	498429	498490	643	704	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	498683	498797	705	819	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	498929	499009	820	900	1164	1
ENSG00000136518	ACTL6A	ENSP00000394014	3	487880	488030	1	151	1164	1
ENSG00000136518	ACTL6A	ENSP00000420153	3	487880	488030	1	151	151	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	491158	491258	152	252	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	492159	492256	253	350	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	494006	494100	351	445	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	494409	494515	446	552	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	494613	494702	553	642	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	498429	498490	643	704	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	498683	498797	705	819	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	498929	499009	820	900	1164	1
ENSG00000136518	ACTL6A	ENSP00000376430	3	487880	488030	1	151	1164	1
